Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
20226,30338,1200,1000,150,20,0.9384615384615385,0.6230769230769231,0.9384615384615385,0.9384615384615385
20226,30338,1200,1000,150,20,0.9538461538461539,0.5153846153846153,0.9538461538461539,0.9538461538461539
20226,30338,1200,1000,150,20,0.9769230769230769,0.6615384615384615,0.9769230769230769,0.9769230769230769
20226,30338,1200,1000,150,20,0.9923076923076923,0.6461538461538462,0.9769230769230769,0.9769230769230769
20226,30338,1200,1000,150,20,0.9769230769230769,0.6,0.9769230769230769,0.9769230769230769
20226,30338,1200,1000,150,20,0.9461538461538461,0.5307692307692308,0.9384615384615385,0.9384615384615385
20226,30338,1200,1000,150,20,0.9692307692307692,0.5692307692307692,0.9769230769230769,0.9769230769230769
20226,30338,1200,1000,150,20,0.9846153846153847,0.6230769230769231,0.9846153846153847,0.9846153846153847
20226,30338,1200,1000,150,20,0.9384615384615385,0.6538461538461539,0.9615384615384616,0.9615384615384616
20226,30338,1200,1000,150,20,0.9307692307692308,0.5692307692307692,0.9384615384615385,0.9384615384615385
20226,30338,1200,1000,150,20,0.9538461538461539,0.6615384615384615,0.9538461538461539,0.9538461538461539
20226,30338,1200,1000,150,20,0.9615384615384616,0.6692307692307692,0.9615384615384616,0.9769230769230769
20226,30338,1200,1000,150,20,0.9692307692307692,0.6,0.9692307692307692,0.9769230769230769
20226,30338,1200,1000,150,20,0.9538461538461539,0.6230769230769231,0.9538461538461539,0.9538461538461539
20226,30338,1200,1000,150,20,0.9153846153846154,0.5846153846153846,0.9153846153846154,0.9153846153846154
20226,30338,1200,1000,150,20,0.9615384615384616,0.5307692307692308,0.9692307692307692,0.9692307692307692
