Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
12000,18000,1200,1000,150,5,0.3793103448275862,0.027586206896551724,0.30344827586206896,0.3586206896551724
12000,18000,1200,1000,150,5,0.7310344827586207,0.027586206896551724,0.593103448275862,0.7517241379310344
12000,18000,1200,1000,150,5,0.11724137931034483,0.013793103448275862,0.42758620689655175,0.7172413793103448
12000,18000,1200,1000,150,5,0.30344827586206896,0.041379310344827586,0.12413793103448276,0.4896551724137931
12000,18000,1200,1000,150,5,0.19310344827586207,0.034482758620689655,0.6689655172413793,0.7103448275862069
12000,18000,1200,1000,150,5,0.22758620689655173,0.006896551724137931,0.5862068965517241,0.6758620689655173
12000,18000,1200,1000,150,5,0.6620689655172414,0.08275862068965517,0.7034482758620689,0.7034482758620689
12000,18000,1200,1000,150,5,0.503448275862069,0.034482758620689655,0.5655172413793104,0.5862068965517241
12000,18000,1200,1000,150,5,0.46206896551724136,0.04827586206896552,0.696551724137931,0.6896551724137931
12000,18000,1200,1000,150,5,0.503448275862069,0.006896551724137931,0.5448275862068965,0.6758620689655173
12000,18000,1200,1000,150,5,0.5793103448275863,0.020689655172413793,0.5379310344827586,0.593103448275862
12000,18000,1200,1000,150,5,0.33793103448275863,0.041379310344827586,0.5586206896551724,0.6068965517241379
12000,18000,1200,1000,150,5,0.6344827586206897,0.027586206896551724,0.6827586206896552,0.6620689655172414
12000,18000,1200,1000,150,5,0.4482758620689655,0.020689655172413793,0.4827586206896552,0.6206896551724138
12000,18000,1200,1000,150,5,0.6206896551724138,0.006896551724137931,0.6206896551724138,0.6413793103448275
12000,18000,1200,1000,150,5,0.06896551724137931,0.013793103448275862,0.5517241379310345,0.6551724137931034
12000,18000,1200,1000,150,5,0.09655172413793103,0.034482758620689655,0.593103448275862,0.7448275862068966
12000,18000,1200,1000,150,5,0.696551724137931,0.027586206896551724,0.696551724137931,0.6758620689655173
12000,18000,1200,1000,150,5,0.6620689655172414,0.08275862068965517,0.7448275862068966,0.7517241379310344
12000,18000,1200,1000,150,5,0.6482758620689655,0.0896551724137931,0.6068965517241379,0.6206896551724138
12000,18000,1200,1000,150,10,0.7071428571428572,0.05,0.6214285714285714,0.6714285714285714
12000,18000,1200,1000,150,10,0.6571428571428571,0.05714285714285714,0.6571428571428571,0.6428571428571429
12000,18000,1200,1000,150,10,0.7571428571428571,0.05714285714285714,0.7214285714285714,0.75
12000,18000,1200,1000,150,10,0.6785714285714286,0.1357142857142857,0.6785714285714286,0.6857142857142857
12000,18000,1200,1000,150,10,0.65,0.03571428571428571,0.6785714285714286,0.6785714285714286
12000,18000,1200,1000,150,10,0.6857142857142857,0.12142857142857143,0.6928571428571428,0.6928571428571428
12000,18000,1200,1000,150,10,0.7642857142857142,0.08571428571428572,0.7642857142857142,0.7642857142857142
12000,18000,1200,1000,150,10,0.6857142857142857,0.04285714285714286,0.6785714285714286,0.6928571428571428
12000,18000,1200,1000,150,10,0.6285714285714286,0.02857142857142857,0.6214285714285714,0.6714285714285714
12000,18000,1200,1000,150,10,0.7142857142857143,0.06428571428571428,0.6857142857142857,0.6785714285714286
12000,18000,1200,1000,150,10,0.6142857142857143,0.04285714285714286,0.6357142857142857,0.6357142857142857
12000,18000,1200,1000,150,10,0.6928571428571428,0.02857142857142857,0.7,0.6785714285714286
12000,18000,1200,1000,150,10,0.7,0.1,0.7285714285714285,0.7214285714285714
12000,18000,1200,1000,150,10,0.7928571428571428,0.1357142857142857,0.7928571428571428,0.7785714285714286
12000,18000,1200,1000,150,10,0.6285714285714286,0.03571428571428571,0.6285714285714286,0.6428571428571429
12000,18000,1200,1000,150,10,0.7,0.12142857142857143,0.7214285714285714,0.7214285714285714
12000,18000,1200,1000,150,10,0.6428571428571429,0.03571428571428571,0.6785714285714286,0.6928571428571428
12000,18000,1200,1000,150,10,0.5857142857142857,0.02857142857142857,0.6357142857142857,0.6285714285714286
12000,18000,1200,1000,150,10,0.5642857142857143,0.02857142857142857,0.5714285714285714,0.6928571428571428
12000,18000,1200,1000,150,10,0.7071428571428572,0.06428571428571428,0.7071428571428572,0.6857142857142857
12000,18000,1200,1000,150,20,0.6,0.1,0.6,0.5769230769230769
12000,18000,1200,1000,150,20,0.6846153846153846,0.09230769230769231,0.6615384615384615,0.676923076923077
12000,18000,1200,1000,150,20,0.7461538461538462,0.12307692307692308,0.7384615384615385,0.7384615384615385
12000,18000,1200,1000,150,20,0.7230769230769231,0.16153846153846155,0.676923076923077,0.676923076923077
12000,18000,1200,1000,150,20,0.6846153846153846,0.12307692307692308,0.7153846153846154,0.7076923076923077
12000,18000,1200,1000,150,20,0.6615384615384615,0.16153846153846155,0.6692307692307692,0.6923076923076923
12000,18000,1200,1000,150,20,0.8,0.06923076923076923,0.7769230769230769,0.7923076923076923
12000,18000,1200,1000,150,20,0.7538461538461538,0.05384615384615385,0.7307692307692307,0.7230769230769231
12000,18000,1200,1000,150,20,0.676923076923077,0.023076923076923078,0.676923076923077,0.6846153846153846
12000,18000,1200,1000,150,20,0.7153846153846154,0.12307692307692308,0.7384615384615385,0.7153846153846154
12000,18000,1200,1000,150,20,0.6923076923076923,0.11538461538461539,0.6615384615384615,0.6615384615384615
12000,18000,1200,1000,150,20,0.8076923076923077,0.06153846153846154,0.7846153846153846,0.7846153846153846
12000,18000,1200,1000,150,20,0.7384615384615385,0.06153846153846154,0.7230769230769231,0.7230769230769231
12000,18000,1200,1000,150,20,0.6538461538461539,0.08461538461538462,0.676923076923077,0.6615384615384615
12000,18000,1200,1000,150,20,0.6923076923076923,0.1076923076923077,0.6923076923076923,0.6923076923076923
12000,18000,1200,1000,150,20,0.7307692307692307,0.07692307692307693,0.7,0.7307692307692307
12000,18000,1200,1000,150,20,0.6384615384615384,0.16923076923076924,0.6538461538461539,0.6692307692307692
12000,18000,1200,1000,150,20,0.6846153846153846,0.07692307692307693,0.6692307692307692,0.676923076923077
12000,18000,1200,1000,150,20,0.7384615384615385,0.07692307692307693,0.7461538461538462,0.7307692307692307
12000,18000,1200,1000,150,20,0.6384615384615384,0.06153846153846154,0.6538461538461539,0.6384615384615384
