Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
20226,30338,1200,1000,150,2,4,1.0,0.31756756756756754,0.0472972972972973,0.8851351351351351,0.9459459459459459
20226,30338,1200,1000,150,2,4,0.3333333333333333,0.0472972972972973,0.033783783783783786,0.581081081081081,0.6351351351351351
20226,30338,1200,1000,150,2,0,1.0,0.006756756756756757,0.02027027027027027,0.006756756756756757,0.06756756756756757
20226,30338,1200,1000,150,2,2,0.75,0.060810810810810814,0.02702702702702703,0.19594594594594594,0.13513513513513514
20226,30338,1200,1000,150,2,1,0.6666666666666666,0.14864864864864866,0.006756756756756757,0.04054054054054054,0.08108108108108109
20226,30338,1200,1000,150,2,1,1.0,0.7364864864864865,0.006756756756756757,0.3108108108108108,0.23648648648648649
20226,30338,1200,1000,150,2,1,1.0,0.777027027027027,0.006756756756756757,0.9054054054054054,0.9662162162162162
20226,30338,1200,1000,150,2,4,1.0,0.3108108108108108,0.033783783783783786,0.918918918918919,0.9527027027027027
20226,30338,1200,1000,150,2,1,0.6666666666666666,0.0472972972972973,0.02027027027027027,0.06756756756756757,0.19594594594594594
20226,30338,1200,1000,150,2,4,0.8333333333333334,0.8851351351351351,0.02027027027027027,0.918918918918919,0.9459459459459459
20226,30338,1200,1000,150,2,5,1.0,0.5878378378378378,0.04054054054054054,0.9256756756756757,0.9459459459459459
20226,30338,1200,1000,150,2,13,0.9333333333333333,0.4189189189189189,0.21621621621621623,0.9932432432432432,0.9932432432432432
20226,30338,1200,1000,150,2,5,0.5714285714285714,0.0472972972972973,0.04054054054054054,0.1554054054054054,0.16891891891891891
20226,30338,1200,1000,150,2,3,0.6,0.033783783783783786,0.006756756756756757,0.6891891891891891,0.8648648648648649
20226,30338,1200,1000,150,2,2,1.0,0.16216216216216217,0.04054054054054054,0.6216216216216216,0.9527027027027027
20226,30338,1200,1000,150,2,3,0.6,0.20270270270270271,0.006756756756756757,0.8986486486486487,0.9391891891891891
20226,30338,1200,1000,150,2,1,0.6666666666666666,0.033783783783783786,0.02702702702702703,0.02702702702702703,0.033783783783783786
20226,30338,1200,1000,150,2,0,1.0,0.11486486486486487,0.02702702702702703,0.11486486486486487,0.5405405405405406
20226,30338,1200,1000,150,2,0,1.0,0.4527027027027027,0.02027027027027027,0.4527027027027027,0.7567567567567568
20226,30338,1200,1000,150,2,1,0.6666666666666666,0.10135135135135136,0.02027027027027027,0.8175675675675675,0.9594594594594594
20226,30338,1200,1000,150,3,6,0.5555555555555556,0.07482993197278912,0.1292517006802721,0.7687074829931972,0.8775510204081632
20226,30338,1200,1000,150,3,6,1.0,0.8299319727891157,0.05442176870748299,0.9659863945578231,0.9591836734693877
20226,30338,1200,1000,150,3,19,1.0,0.9047619047619048,0.14285714285714285,0.9727891156462585,0.9727891156462585
20226,30338,1200,1000,150,3,27,1.0,0.9659863945578231,0.19047619047619047,1.0,1.0
20226,30338,1200,1000,150,3,15,0.9444444444444444,0.9319727891156463,0.09523809523809523,0.9455782312925171,0.9455782312925171
20226,30338,1200,1000,150,3,4,1.0,0.8707482993197279,0.027210884353741496,0.9523809523809523,0.9795918367346939
20226,30338,1200,1000,150,3,25,1.0,0.782312925170068,0.19047619047619047,0.9455782312925171,0.9523809523809523
20226,30338,1200,1000,150,3,1,0.75,0.047619047619047616,0.02040816326530612,0.047619047619047616,0.10204081632653061
20226,30338,1200,1000,150,3,7,0.6,0.12244897959183673,0.09523809523809523,0.7278911564625851,0.7959183673469388
20226,30338,1200,1000,150,3,1,0.75,0.25170068027210885,0.006802721088435374,0.06802721088435375,0.047619047619047616
20226,30338,1200,1000,150,3,9,1.0,0.8843537414965986,0.061224489795918366,0.9727891156462585,0.9727891156462585
20226,30338,1200,1000,150,3,5,0.875,0.2108843537414966,0.06802721088435375,0.20408163265306123,0.8707482993197279
20226,30338,1200,1000,150,3,3,0.8333333333333334,0.7414965986394558,0.013605442176870748,0.6190476190476191,0.6938775510204082
20226,30338,1200,1000,150,3,2,0.6,0.006802721088435374,0.04081632653061224,0.027210884353741496,0.7346938775510204
20226,30338,1200,1000,150,3,50,0.9811320754716981,0.9455782312925171,0.3469387755102041,0.9591836734693877,0.9659863945578231
20226,30338,1200,1000,150,3,49,0.9615384615384616,0.8095238095238095,0.35374149659863946,0.9523809523809523,0.9523809523809523
20226,30338,1200,1000,150,3,11,1.0,0.8571428571428571,0.08163265306122448,0.9795918367346939,0.9795918367346939
20226,30338,1200,1000,150,3,5,1.0,0.54421768707483,0.061224489795918366,0.9863945578231292,0.9863945578231292
20226,30338,1200,1000,150,3,4,0.42857142857142855,0.09523809523809523,0.02040816326530612,0.07482993197278912,0.08843537414965986
20226,30338,1200,1000,150,3,13,1.0,0.8775510204081632,0.09523809523809523,0.9795918367346939,0.9795918367346939
20226,30338,1200,1000,150,4,4,0.625,0.0684931506849315,0.03424657534246575,0.1095890410958904,0.07534246575342465
20226,30338,1200,1000,150,4,16,1.0,0.910958904109589,0.1232876712328767,0.9657534246575342,0.9657534246575342
20226,30338,1200,1000,150,4,13,0.7647058823529411,0.3424657534246575,0.0821917808219178,0.6643835616438356,0.726027397260274
20226,30338,1200,1000,150,4,96,0.99,0.9246575342465754,0.6643835616438356,0.9383561643835616,0.9315068493150684
20226,30338,1200,1000,150,4,10,0.8571428571428571,0.8287671232876712,0.0547945205479452,0.9383561643835616,0.9452054794520548
20226,30338,1200,1000,150,4,14,0.8888888888888888,0.910958904109589,0.08904109589041095,0.958904109589041,0.958904109589041
20226,30338,1200,1000,150,4,52,0.9642857142857143,0.8424657534246576,0.3767123287671233,0.9246575342465754,0.9246575342465754
20226,30338,1200,1000,150,4,27,1.0,0.8698630136986302,0.1917808219178082,0.952054794520548,0.958904109589041
20226,30338,1200,1000,150,4,5,1.0,0.7945205479452054,0.03424657534246575,0.9863013698630136,0.9863013698630136
20226,30338,1200,1000,150,4,10,0.8571428571428571,0.1917808219178082,0.1095890410958904,0.958904109589041,0.952054794520548
20226,30338,1200,1000,150,4,56,1.0,0.910958904109589,0.4178082191780822,0.9726027397260274,0.9726027397260274
20226,30338,1200,1000,150,4,68,0.9861111111111112,0.863013698630137,0.5205479452054794,0.9452054794520548,0.9383561643835616
20226,30338,1200,1000,150,4,21,1.0,0.9246575342465754,0.1506849315068493,0.9794520547945206,0.9794520547945206
20226,30338,1200,1000,150,4,6,0.9,0.9315068493150684,0.03424657534246575,0.958904109589041,0.958904109589041
20226,30338,1200,1000,150,4,6,1.0,0.815068493150685,0.0410958904109589,0.958904109589041,0.958904109589041
20226,30338,1200,1000,150,4,20,0.9583333333333334,0.9178082191780822,0.136986301369863,0.9726027397260274,0.9726027397260274
20226,30338,1200,1000,150,4,3,1.0,0.5684931506849316,0.0273972602739726,0.9246575342465754,0.9178082191780822
20226,30338,1200,1000,150,4,15,0.8421052631578947,0.8561643835616438,0.0821917808219178,0.9452054794520548,0.9452054794520548
20226,30338,1200,1000,150,4,19,0.9565217391304348,0.7191780821917808,0.17123287671232876,0.9863013698630136,0.9863013698630136
20226,30338,1200,1000,150,4,3,1.0,0.9178082191780822,0.02054794520547945,0.952054794520548,0.958904109589041
