Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Dynamic refspeeds,Runtime RefVolScore,Runtime ClusterVolScore,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
20226,30338,1200,1000,150,4,11,1.0,2,"[2, 2, 1, 2, 1, 8, 1, 2, 1, 3, 9, 5, 1, 5, 1, 3, 1, 2, 3, 5, 3, 1, 7, 2, 4, 1, 5, 3, 2, 10, 1, 3, 7, 5, 7, 7]",34.696725606918335,19.675514459609985,0.952054794520548,0.0821917808219178,0.958904109589041,0.952054794520548
20226,30338,1200,1000,150,4,86,0.9555555555555556,4,"[2, 3, 3, 3, 7, 2, 9, 1, 1, 3, 10, 3, 8]",10.018068313598633,8.86617636680603,0.910958904109589,0.5958904109589042,0.9315068493150684,0.9315068493150684
20226,30338,1200,1000,150,4,65,1.0,4,"[1, 6, 1, 2, 8, 2, 9, 3, 10, 1, 9, 1, 4, 10, 2, 5]",12.279474020004272,9.475608825683594,0.9452054794520548,0.4589041095890411,0.9726027397260274,0.9726027397260274
20226,30338,1200,1000,150,4,103,1.0,4,"[1, 5, 5, 1, 1, 2, 4, 1, 9, 2, 2, 3]",7.203676223754883,8.11418080329895,0.958904109589041,0.7191780821917808,0.958904109589041,0.958904109589041
20226,30338,1200,1000,150,4,64,0.9852941176470589,4,"[2, 5, 2, 9, 1, 2, 5, 2, 2, 10, 7, 8, 6, 8, 3, 4]",12.567121744155884,10.346568822860718,0.8424657534246576,0.4520547945205479,0.9726027397260274,0.9726027397260274
20226,30338,1200,1000,150,4,4,1.0,4,"[1, 3, 2, 1, 5, 1, 3, 3, 1, 10, 1, 10, 3, 2, 8, 1, 1, 7, 1, 3, 1, 6, 1, 7, 2, 5, 1, 1, 1, 5, 1, 3, 1, 6, 3, 1, 7, 7, 4, 1, 10]",19.10605001449585,21.27895712852478,0.9794520547945206,0.0273972602739726,0.9863013698630136,0.9794520547945206
20226,30338,1200,1000,150,4,99,1.0,4,"[2, 7, 5, 10, 6, 4, 8]",7.3075315952301025,5.293545484542847,0.9726027397260274,0.6917808219178082,0.9726027397260274,0.9726027397260274
20226,30338,1200,1000,150,4,84,0.9886363636363636,4,"[3, 1, 10, 2, 4, 1, 10, 9, 8, 10]",10.208728313446045,7.079200029373169,0.8835616438356164,0.6095890410958904,0.9726027397260274,0.9726027397260274
20226,30338,1200,1000,150,4,100,0.9903846153846154,4,"[2, 3, 2, 4, 7, 4, 2, 1, 1, 1, 10]",7.666672706604004,7.627600431442261,0.9726027397260274,0.6917808219178082,0.9794520547945206,0.9863013698630136
20226,30338,1200,1000,150,4,105,0.9724770642201835,4,"[4, 1, 3, 7, 3, 1, 7, 10]",7.119628429412842,5.956344366073608,0.9383561643835616,0.726027397260274,0.9657534246575342,0.958904109589041
20226,30338,1200,1000,150,4,102,0.9905660377358491,4,"[6, 2, 3, 8, 3, 4, 9]",7.660800218582153,5.400940895080566,0.958904109589041,0.7054794520547946,0.958904109589041,0.9657534246575342
20226,30338,1200,1000,150,4,117,1.0,4,"[1, 4, 1, 1, 10, 6]",4.874482870101929,4.320291042327881,0.9863013698630136,0.8013698630136986,0.9863013698630136,0.9863013698630136
20226,30338,1200,1000,150,4,17,1.0,4,"[1, 1, 3, 7, 7, 5, 2, 7, 1, 3, 8, 2, 7, 1, 9, 9, 1, 6, 8, 3, 3, 3, 1, 10, 1, 10, 4]",18.161818981170654,15.258005142211914,0.8835616438356164,0.1232876712328767,0.9863013698630136,0.9863013698630136
20226,30338,1200,1000,150,4,14,0.8333333333333334,4,"[1, 1, 8, 2, 5, 1, 4, 5, 10, 1, 4, 10, 1, 1, 4, 1, 2, 5, 2, 2, 1, 4, 2, 3, 8, 1, 4, 1, 1, 2, 7, 9, 2, 3, 10]",18.49187159538269,19.28839874267578,0.6506849315068494,0.0958904109589041,0.9178082191780822,0.9246575342465754
20226,30338,1200,1000,150,4,110,1.0,4,"[1, 2, 4, 9, 8, 1, 6]",6.928297519683838,5.486763000488281,0.9863013698630136,0.7602739726027398,0.9863013698630136,0.9863013698630136
20226,30338,1200,1000,150,4,77,0.9753086419753086,4,"[1, 1, 3, 10, 3, 9, 1, 1, 8, 1, 2, 9, 10, 1]",11.26593565940857,9.434707403182983,0.9178082191780822,0.541095890410959,0.9315068493150684,0.9315068493150684
20226,30338,1200,1000,150,4,8,0.9166666666666666,4,"[2, 10, 2, 4, 1, 1, 7, 1, 2, 1, 7, 3, 1, 2, 1, 4, 1, 1, 8, 1, 4, 2, 3, 1, 3, 1, 10, 1, 3, 1, 1, 3, 10, 6, 9, 1, 9, 3]",17.961159467697144,20.430116176605225,0.9041095890410958,0.0547945205479452,0.9726027397260274,0.9657534246575342
20226,30338,1200,1000,150,4,1,0.8,4,"[3, 1, 1, 10, 1, 1, 1, 2, 1, 7, 2, 3, 3, 2, 1, 1, 1, 1, 5, 1, 2, 1, 1, 2, 1, 5, 1, 10, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 9, 1, 3, 1, 7, 2, 3, 4, 1, 1, 1, 1, 7, 1, 2, 4, 1, 9]",19.940692901611328,30.0160493850708,0.0410958904109589,0.03424657534246575,0.02054794520547945,0.0684931506849315
20226,30338,1200,1000,150,4,73,0.961038961038961,4,"[1, 2, 7, 1, 1, 7, 1, 6, 3, 7, 5, 2, 8, 8, 8]",11.887606859207153,10.175892353057861,0.8698630136986302,0.5205479452054794,0.9383561643835616,0.9452054794520548
20226,30338,1200,1000,150,4,117,0.9834710743801653,4,"[2, 8, 7, 9]",4.904491186141968,3.4251582622528076,0.9452054794520548,0.7945205479452054,0.9657534246575342,0.9657534246575342
20226,30338,1200,1000,150,4,30,0.9705882352941176,4,"[4, 8, 2, 1, 1, 4, 2, 10, 1, 3, 7, 8, 8, 1, 1, 7, 2, 10, 3, 8, 1, 2, 10, 4]",16.5841007232666,14.0056893825531,0.910958904109589,0.2054794520547945,0.9246575342465754,0.9315068493150684
20226,30338,1200,1000,150,4,21,1.0,8,"[1, 1, 2, 4, 10, 1, 3, 1, 1, 2, 4, 1, 7, 1, 1, 7, 1, 10, 8, 3, 6, 2, 2, 7, 1, 1, 10, 1, 9, 8]",9.004713296890259,16.813668251037598,0.636986301369863,0.15753424657534246,0.9178082191780822,0.9178082191780822
20226,30338,1200,1000,150,4,6,1.0,8,"[2, 1, 3, 1, 2, 1, 4, 5, 1, 1, 1, 2, 1, 8, 3, 1, 1, 3, 4, 1, 2, 1, 7, 3, 1, 3, 1, 1, 4, 10, 1, 4, 2, 10, 3, 6, 2, 6, 10, 6, 7]",9.85997748374939,21.75753092765808,0.910958904109589,0.0410958904109589,0.9863013698630136,0.9931506849315068
20226,30338,1200,1000,150,4,91,1.0,8,"[2, 9, 1, 9, 1, 10, 1, 4, 4, 9]",4.76372504234314,6.9675071239471436,0.9246575342465754,0.6506849315068494,0.958904109589041,0.958904109589041
20226,30338,1200,1000,150,4,28,0.9375,8,"[1, 7, 1, 1, 10, 10, 2, 6, 10, 1, 1, 2, 8, 3, 4, 7, 2, 7, 4, 3, 9, 1, 2, 10]",8.749433994293213,14.057764768600464,0.8561643835616438,0.1917808219178082,0.8904109589041096,0.9041095890410958
20226,30338,1200,1000,150,4,90,0.9893617021276596,8,"[3, 1, 6, 6, 9, 3, 3, 9, 4, 1, 10]",5.160000801086426,7.5931172370910645,0.9657534246575342,0.6232876712328768,0.9657534246575342,0.9657534246575342
20226,30338,1200,1000,150,4,69,0.9863013698630136,8,"[2, 5, 1, 1, 9, 3, 1, 1, 9, 4, 3, 9, 7, 1, 10, 2]",6.840732574462891,10.8504056930542,0.958904109589041,0.4726027397260274,0.9657534246575342,0.9657534246575342
