Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
12044,18065,1200,1000,150,2,3,0.4,0.1554054054054054,0.0,0.013513513513513514,0.006756756756756757
12044,18065,1200,1000,150,2,4,0.5,0.06756756756756757,0.006756756756756757,0.08108108108108109,0.13513513513513514
12044,18065,1200,1000,150,2,2,0.75,0.060810810810810814,0.013513513513513514,0.27702702702702703,0.13513513513513514
12044,18065,1200,1000,150,2,0,1.0,0.006756756756756757,0.0,0.006756756756756757,0.02027027027027027
12044,18065,1200,1000,150,2,1,0.6666666666666666,0.013513513513513514,0.0,0.006756756756756757,0.033783783783783786
12044,18065,1200,1000,150,2,1,0.6666666666666666,0.08783783783783784,0.006756756756756757,0.16891891891891891,0.13513513513513514
12044,18065,1200,1000,150,2,0,1.0,0.0,0.006756756756756757,0.0,0.013513513513513514
12044,18065,1200,1000,150,2,1,0.6666666666666666,0.20945945945945946,0.006756756756756757,0.18243243243243243,0.04054054054054054
12044,18065,1200,1000,150,2,4,0.3333333333333333,0.006756756756756757,0.02027027027027027,0.060810810810810814,0.0
12044,18065,1200,1000,150,2,0,1.0,0.0945945945945946,0.02702702702702703,0.0945945945945946,0.02702702702702703
12044,18065,1200,1000,150,2,0,1.0,0.27702702702702703,0.02027027027027027,0.27702702702702703,0.05405405405405406
12044,18065,1200,1000,150,2,0,1.0,0.02702702702702703,0.0,0.02702702702702703,0.02702702702702703
12044,18065,1200,1000,150,2,6,0.875,0.2905405405405405,0.06756756756756757,0.5945945945945946,0.8648648648648649
12044,18065,1200,1000,150,2,1,1.0,0.04054054054054054,0.013513513513513514,0.08783783783783784,0.07432432432432433
12044,18065,1200,1000,150,2,3,0.4,0.0472972972972973,0.006756756756756757,0.02702702702702703,0.10135135135135136
12044,18065,1200,1000,150,2,3,1.0,0.2905405405405405,0.033783783783783786,0.75,0.8243243243243243
12044,18065,1200,1000,150,2,1,0.6666666666666666,0.1891891891891892,0.02027027027027027,0.43243243243243246,0.6959459459459459
12044,18065,1200,1000,150,2,3,0.6,0.08783783783783784,0.006756756756756757,0.32432432432432434,0.5202702702702703
12044,18065,1200,1000,150,2,3,0.8,0.17567567567567569,0.02027027027027027,0.7837837837837838,0.17567567567567569
12044,18065,1200,1000,150,2,7,0.4444444444444444,0.14864864864864866,0.033783783783783786,0.08108108108108109,0.12837837837837837
12044,18065,1200,1000,150,3,4,0.7142857142857143,0.17006802721088435,0.02040816326530612,0.7346938775510204,0.7346938775510204
12044,18065,1200,1000,150,3,2,0.8,0.09523809523809523,0.006802721088435374,0.16326530612244897,0.14285714285714285
12044,18065,1200,1000,150,3,1,0.75,0.06802721088435375,0.006802721088435374,0.047619047619047616,0.1292517006802721
12044,18065,1200,1000,150,3,4,0.5714285714285714,0.04081632653061224,0.02040816326530612,0.43537414965986393,0.12244897959183673
12044,18065,1200,1000,150,3,5,0.75,0.09523809523809523,0.027210884353741496,0.7278911564625851,0.7210884353741497
12044,18065,1200,1000,150,3,2,0.8,0.6598639455782312,0.013605442176870748,0.7074829931972789,0.8231292517006803
12044,18065,1200,1000,150,3,3,0.6666666666666666,0.04081632653061224,0.006802721088435374,0.027210884353741496,0.013605442176870748
12044,18065,1200,1000,150,3,9,0.5833333333333334,0.29931972789115646,0.034013605442176874,0.7891156462585034,0.7959183673469388
12044,18065,1200,1000,150,3,0,1.0,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.08843537414965986
12044,18065,1200,1000,150,3,9,1.0,0.673469387755102,0.07482993197278912,0.8571428571428571,0.9183673469387755
12044,18065,1200,1000,150,3,12,0.8666666666666667,0.5510204081632653,0.08843537414965986,0.8027210884353742,0.8231292517006803
12044,18065,1200,1000,150,3,1,0.75,0.14965986394557823,0.0,0.1292517006802721,0.3401360544217687
12044,18065,1200,1000,150,3,3,0.6666666666666666,0.42857142857142855,0.006802721088435374,0.20408163265306123,0.5850340136054422
12044,18065,1200,1000,150,3,3,0.5,0.14285714285714285,0.02040816326530612,0.07482993197278912,0.06802721088435375
12044,18065,1200,1000,150,3,9,0.5,0.08843537414965986,0.034013605442176874,0.08163265306122448,0.047619047619047616
12044,18065,1200,1000,150,3,2,0.6,0.10884353741496598,0.0,0.09523809523809523,0.11564625850340136
12044,18065,1200,1000,150,3,16,0.8421052631578947,0.3333333333333333,0.12244897959183673,0.5782312925170068,0.6666666666666666
12044,18065,1200,1000,150,3,1,1.0,0.3129251700680272,0.006802721088435374,0.43537414965986393,0.7074829931972789
12044,18065,1200,1000,150,3,1,0.75,0.06802721088435375,0.006802721088435374,0.013605442176870748,0.04081632653061224
12044,18065,1200,1000,150,3,1,0.75,0.02040816326530612,0.006802721088435374,0.034013605442176874,0.02040816326530612
12044,18065,1200,1000,150,4,3,1.0,0.4726027397260274,0.0273972602739726,0.8835616438356164,0.9315068493150684
12044,18065,1200,1000,150,4,3,0.8571428571428571,0.10273972602739725,0.03424657534246575,0.4452054794520548,0.4931506849315068
12044,18065,1200,1000,150,4,5,0.8888888888888888,0.6575342465753424,0.0547945205479452,0.8082191780821918,0.821917808219178
12044,18065,1200,1000,150,4,0,1.0,0.02054794520547945,0.0547945205479452,0.02054794520547945,0.0136986301369863
12044,18065,1200,1000,150,4,0,1.0,0.0958904109589041,0.07534246575342465,0.0958904109589041,0.0410958904109589
12044,18065,1200,1000,150,4,4,0.875,0.2534246575342466,0.06164383561643835,0.6232876712328768,0.7397260273972602
12044,18065,1200,1000,150,4,2,0.6666666666666666,0.2876712328767123,0.0,0.11643835616438356,0.5684931506849316
12044,18065,1200,1000,150,4,0,1.0,0.2191780821917808,0.03424657534246575,0.2191780821917808,0.23972602739726026
12044,18065,1200,1000,150,4,3,1.0,0.06164383561643835,0.08904109589041095,0.7808219178082192,0.8356164383561644
12044,18065,1200,1000,150,4,2,0.8333333333333334,0.5616438356164384,0.00684931506849315,0.6438356164383562,0.7465753424657534
12044,18065,1200,1000,150,4,6,1.0,0.2054794520547945,0.13013698630136986,0.8287671232876712,0.8493150684931506
12044,18065,1200,1000,150,4,12,0.9375,0.7808219178082192,0.07534246575342465,0.8698630136986302,0.8767123287671232
12044,18065,1200,1000,150,4,11,1.0,0.7123287671232876,0.07534246575342465,0.8561643835616438,0.8698630136986302
12044,18065,1200,1000,150,4,5,0.7777777777777778,0.19863013698630136,0.0410958904109589,0.589041095890411,0.6301369863013698
12044,18065,1200,1000,150,4,9,0.8461538461538461,0.7397260273972602,0.04794520547945205,0.815068493150685,0.815068493150685
12044,18065,1200,1000,150,4,24,0.8571428571428571,0.5821917808219178,0.17123287671232876,0.8287671232876712,0.8493150684931506
12044,18065,1200,1000,150,4,5,0.8888888888888888,0.6232876712328768,0.0273972602739726,0.7054794520547946,0.7945205479452054
12044,18065,1200,1000,150,4,4,0.625,0.2328767123287671,0.02054794520547945,0.1506849315068493,0.2328767123287671
12044,18065,1200,1000,150,4,2,0.6666666666666666,0.04794520547945205,0.0410958904109589,0.5547945205479452,0.08904109589041095
12044,18065,1200,1000,150,4,2,0.8333333333333334,0.18493150684931506,0.02054794520547945,0.11643835616438356,0.13013698630136986
