Similar voc size,Server voc size,Counter measure,Nr similar docs,Nr server docs,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc
1000,1000,none,20226,30338,150,15,74,0.9887640449438202,7,0.9185185185185185,0.5481481481481482,0.9407407407407408
1000,1000,none,20226,30338,150,15,75,0.9888888888888889,7,0.8962962962962963,0.5777777777777777,0.8962962962962963
1000,1000,none,20226,30338,150,15,84,1.0,7,0.9481481481481482,0.6222222222222222,0.9629629629629629
1000,1000,none,20226,30338,150,15,84,0.9696969696969697,7,0.9259259259259259,0.6074074074074074,0.9259259259259259
2000,2000,none,20226,30338,300,15,168,0.994535519125683,15,0.9157894736842105,0.5929824561403508,0.9052631578947369
2000,2000,none,20226,30338,300,15,161,1.0,15,0.9087719298245615,0.5754385964912281,0.9052631578947369
2000,2000,none,20226,30338,300,15,174,0.9894179894179894,15,0.9298245614035088,0.6105263157894737,0.9263157894736842
2000,2000,none,20226,30338,300,15,175,0.9842105263157894,15,0.9263157894736842,0.6105263157894737,0.9263157894736842
2000,2000,none,20226,30338,300,15,76,1.0,15,0.8947368421052632,0.26666666666666666,0.8947368421052632
2000,2000,none,20226,30338,300,15,164,0.9832402234636871,15,0.9087719298245615,0.5684210526315789,0.9087719298245615
2000,2000,none,20226,30338,300,15,167,0.978021978021978,15,0.9017543859649123,0.5824561403508772,0.9017543859649123
2000,2000,none,20226,30338,300,15,91,0.9716981132075472,15,0.8456140350877193,0.3157894736842105,0.8947368421052632
2000,2000,none,20226,30338,300,15,184,0.9849246231155779,15,0.9333333333333333,0.6456140350877193,0.9333333333333333
2000,2000,none,20226,30338,300,15,170,0.9945945945945946,15,0.9157894736842105,0.5964912280701754,0.9192982456140351
2000,2000,none,20226,30338,300,15,171,0.9946236559139785,15,0.8947368421052632,0.6035087719298246,0.8982456140350877
2000,2000,none,20226,30338,300,15,170,0.9675675675675676,15,0.9228070175438596,0.5824561403508772,0.9087719298245615
2000,2000,none,20226,30338,300,15,193,0.9855769230769231,15,0.9368421052631579,0.6736842105263158,0.9298245614035088
2000,2000,none,20226,30338,300,15,176,0.9738219895287958,15,0.9228070175438596,0.6070175438596491,0.9052631578947369
2000,2000,none,20226,30338,300,15,182,0.9949238578680203,15,0.9228070175438596,0.6385964912280702,0.9122807017543859
2000,2000,none,20226,30338,300,15,149,0.9878048780487805,15,0.8947368421052632,0.5333333333333333,0.8947368421052632
2000,2000,none,20226,30338,300,15,172,0.983957219251337,15,0.8912280701754386,0.6175438596491228,0.9052631578947369
2000,2000,none,20226,30338,300,15,177,0.9895833333333334,15,0.9087719298245615,0.6175438596491228,0.9087719298245615
2000,2000,none,20226,30338,300,15,144,0.9874213836477987,15,0.9122807017543859,0.5087719298245614,0.9122807017543859
2000,2000,none,20226,30338,300,15,177,0.9947916666666666,15,0.9087719298245615,0.6280701754385964,0.9087719298245615
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.95,0.0,0.95
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9666666666666667,0.0,0.9666666666666667
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9666666666666667,0.0,0.9666666666666667
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9833333333333333,0.0,0.9833333333333333
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9666666666666667,0.0,0.9666666666666667
500,500,volume_hiding,20226,30338,75,15,1,1.0,3,0.9833333333333333,0.016666666666666666,0.9833333333333333
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9833333333333333,0.0,0.9833333333333333
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9666666666666667,0.0,0.9666666666666667
500,500,volume_hiding,20226,30338,75,15,1,1.0,3,0.9333333333333333,0.016666666666666666,0.9333333333333333
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9833333333333333,0.0,0.9833333333333333
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.95,0.0,0.95
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9166666666666666,0.0,0.9166666666666666
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,1.0,0.0,1.0
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.95,0.0,0.95
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.95,0.0,0.95
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.95,0.0,0.95
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,1.0,0.0,1.0
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9666666666666667,0.0,0.9666666666666667
500,500,volume_hiding,20226,30338,75,15,0,1.0,3,0.9666666666666667,0.0,0.9666666666666667
500,500,volume_hiding,20226,30338,75,15,1,1.0,3,0.9666666666666667,0.016666666666666666,0.9666666666666667
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9481481481481482,0.0,0.9481481481481482
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9481481481481482,0.0,0.9481481481481482
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9555555555555556,0.0,0.9555555555555556
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9407407407407408,0.0,0.9407407407407408
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9851851851851852,0.0,0.9851851851851852
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9333333333333333,0.0,0.9333333333333333
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9481481481481482,0.0,0.9481481481481482
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9629629629629629,0.0,0.9629629629629629
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9259259259259259,0.0,0.9259259259259259
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9629629629629629,0.0,0.9629629629629629
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9555555555555556,0.0,0.9555555555555556
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9185185185185185,0.0,0.9185185185185185
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9333333333333333,0.0,0.9333333333333333
1000,1000,volume_hiding,20226,30338,150,15,1,1.0,7,0.9481481481481482,0.007407407407407408,0.9481481481481482
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9111111111111111,0.0,0.9111111111111111
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9629629629629629,0.0,0.9629629629629629
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9555555555555556,0.0,0.9555555555555556
1000,1000,volume_hiding,20226,30338,150,15,1,1.0,7,0.9037037037037037,0.007407407407407408,0.9037037037037037
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9259259259259259,0.0,0.9259259259259259
1000,1000,volume_hiding,20226,30338,150,15,0,1.0,7,0.9333333333333333,0.0,0.9333333333333333
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9263157894736842,0.0,0.9263157894736842
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9228070175438596,0.0,0.9228070175438596
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9508771929824561,0.0,0.9508771929824561
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.856140350877193,0.0,0.856140350877193
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9473684210526315,0.0,0.9473684210526315
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.8982456140350877,0.0,0.8982456140350877
2000,2000,volume_hiding,20226,30338,300,15,1,1.0,15,0.9087719298245615,0.0035087719298245615,0.9157894736842105
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9192982456140351,0.0,0.9192982456140351
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9228070175438596,0.0,0.9228070175438596
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.8736842105263158,0.0,0.8736842105263158
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.8947368421052632,0.0,0.8947368421052632
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9192982456140351,0.0,0.9192982456140351
2000,2000,volume_hiding,20226,30338,300,15,1,1.0,15,0.9333333333333333,0.0035087719298245615,0.9228070175438596
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9122807017543859,0.0,0.9122807017543859
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9052631578947369,0.0,0.9052631578947369
2000,2000,volume_hiding,20226,30338,300,15,1,1.0,15,0.8807017543859649,0.0035087719298245615,0.8280701754385965
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.8245614035087719,0.0035087719298245615,0.8245614035087719
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9157894736842105,0.0,0.9157894736842105
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9052631578947369,0.0,0.9052631578947369
2000,2000,volume_hiding,20226,30338,300,15,0,1.0,15,0.9228070175438596,0.0,0.9228070175438596
500,500,padding,20226,30338,75,15,12,0.9629629629629629,3,0.5666666666666667,0.2833333333333333,0.55
500,500,padding,20226,30338,75,15,13,0.9285714285714286,3,0.6166666666666667,0.23333333333333334,0.6666666666666666
500,500,padding,20226,30338,75,15,7,0.9545454545454546,3,0.7,0.13333333333333333,0.8333333333333334
500,500,padding,20226,30338,75,15,12,0.8888888888888888,3,0.6833333333333333,0.2,0.6333333333333333
500,500,padding,20226,30338,75,15,17,0.9375,3,0.8333333333333334,0.3,0.8333333333333334
500,500,padding,20226,30338,75,15,16,1.0,3,0.65,0.48333333333333334,0.6166666666666667
500,500,padding,20226,30338,75,15,19,1.0,3,0.7833333333333333,0.36666666666666664,0.7833333333333333
500,500,padding,20226,30338,75,15,12,1.0,3,0.8166666666666667,0.26666666666666666,0.8333333333333334
500,500,padding,20226,30338,75,15,14,0.9655172413793104,3,0.8,0.25,0.8
500,500,padding,20226,30338,75,15,32,1.0,3,0.7833333333333333,0.6,0.8
500,500,padding,20226,30338,75,15,18,1.0,3,0.6333333333333333,0.43333333333333335,0.6833333333333333
500,500,padding,20226,30338,75,15,5,0.95,3,0.43333333333333335,0.11666666666666667,0.38333333333333336
500,500,padding,20226,30338,75,15,12,0.9259259259259259,3,0.7,0.25,0.6833333333333333
500,500,padding,20226,30338,75,15,5,1.0,3,0.6333333333333333,0.16666666666666666,0.6
500,500,padding,20226,30338,75,15,20,0.9714285714285714,3,0.9,0.31666666666666665,0.9
