Similar voc size,Server voc size,Counter measure,Nr similar docs,Nr server docs,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc
2000,2000,none,12044,18065,300,15,43,0.9655172413793104,15,0.7894736842105263,0.14736842105263157,0.7508771929824561
2000,2000,none,12044,18065,300,15,9,0.9166666666666666,15,0.7298245614035088,0.028070175438596492,0.7403508771929824
2000,2000,none,12044,18065,300,15,39,0.9444444444444444,15,0.7649122807017544,0.14035087719298245,0.7684210526315789
2000,2000,none,12044,18065,300,15,55,0.9428571428571428,15,0.7964912280701755,0.19649122807017544,0.7964912280701755
2000,2000,none,12044,18065,300,15,66,0.9629629629629629,15,0.7859649122807018,0.22456140350877193,0.7964912280701755
2000,2000,none,12044,18065,300,15,13,0.9285714285714286,15,0.7578947368421053,0.03859649122807018,0.7508771929824561
2000,2000,none,12044,18065,300,15,19,0.9411764705882353,15,0.656140350877193,0.07368421052631578,0.7508771929824561
2000,2000,none,12044,18065,300,15,25,0.975,15,0.7789473684210526,0.08771929824561403,0.7578947368421053
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.8333333333333334,0.0,0.8333333333333334
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.85,0.0,0.85
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.8666666666666667,0.0,0.8666666666666667
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.9,0.0,0.9
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.7666666666666667,0.0,0.7666666666666667
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.85,0.0,0.85
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.9166666666666666,0.0,0.9166666666666666
500,500,volume_hiding,12044,18065,75,15,1,1.0,3,0.9333333333333333,0.016666666666666666,0.9333333333333333
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.8666666666666667,0.0,0.8666666666666667
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.9,0.0,0.9
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.95,0.0,0.95
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.85,0.0,0.85
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.8666666666666667,0.0,0.8666666666666667
500,500,volume_hiding,12044,18065,75,15,1,1.0,3,0.9,0.016666666666666666,0.9
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.9666666666666667,0.0,0.9666666666666667
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.8166666666666667,0.0,0.8166666666666667
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.8333333333333334,0.0,0.8333333333333334
500,500,volume_hiding,12044,18065,75,15,1,1.0,3,0.8833333333333333,0.016666666666666666,0.8833333333333333
500,500,volume_hiding,12044,18065,75,15,0,1.0,3,0.9166666666666666,0.0,0.9166666666666666
500,500,volume_hiding,12044,18065,75,15,1,1.0,3,0.8166666666666667,0.016666666666666666,0.8166666666666667
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.8444444444444444,0.0,0.8444444444444444
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.7777777777777778,0.0,0.7777777777777778
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.762962962962963,0.0,0.762962962962963
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.7555555555555555,0.0,0.7555555555555555
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.8666666666666667,0.0,0.8666666666666667
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.8592592592592593,0.0,0.8592592592592593
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.837037037037037,0.0,0.837037037037037
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.8444444444444444,0.0,0.8444444444444444
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.8740740740740741,0.0,0.8740740740740741
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.7481481481481481,0.0,0.7481481481481481
1000,1000,volume_hiding,12044,18065,150,15,1,1.0,7,0.7777777777777778,0.007407407407407408,0.7925925925925926
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.8592592592592593,0.0,0.8592592592592593
1000,1000,volume_hiding,12044,18065,150,15,1,1.0,7,0.7703703703703704,0.007407407407407408,0.7777777777777778
1000,1000,volume_hiding,12044,18065,150,15,1,1.0,7,0.8888888888888888,0.007407407407407408,0.8888888888888888
1000,1000,volume_hiding,12044,18065,150,15,0,1.0,7,0.8592592592592593,0.0,0.8592592592592593
