Similar voc size,Server voc size,Counter measure,Nr similar docs,Nr server docs,Nr queries,Nr queries known,Nr new known queries,Combined known queries acc,Current refspeed,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc
500,500,none,12000,18000,75,15,5,1.0,3,0.6,0.08333333333333333,0.6333333333333333
500,500,none,12000,18000,75,15,18,0.9696969696969697,3,0.7833333333333333,0.2833333333333333,0.8
500,500,none,12000,18000,75,15,14,0.9655172413793104,3,0.7666666666666667,0.21666666666666667,0.7333333333333333
500,500,none,12000,18000,75,15,9,0.9583333333333334,3,0.7166666666666667,0.16666666666666666,0.6833333333333333
500,500,none,12000,18000,75,15,19,0.8823529411764706,3,0.7166666666666667,0.2833333333333333,0.7166666666666667
500,500,none,12000,18000,75,15,21,0.9444444444444444,3,0.7333333333333333,0.3333333333333333,0.7333333333333333
500,500,none,12000,18000,75,15,14,0.9310344827586207,3,0.7333333333333333,0.23333333333333334,0.7333333333333333
500,500,none,12000,18000,75,15,15,1.0,3,0.8166666666666667,0.26666666666666666,0.8333333333333334
500,500,none,12000,18000,75,15,13,0.9285714285714286,3,0.6166666666666667,0.18333333333333332,0.5666666666666667
500,500,none,12000,18000,75,15,21,0.9722222222222222,3,0.8166666666666667,0.3333333333333333,0.8166666666666667
500,500,none,12000,18000,75,15,13,0.8928571428571429,3,0.7,0.16666666666666666,0.7
500,500,none,12000,18000,75,15,12,0.9259259259259259,3,0.75,0.16666666666666666,0.7666666666666667
500,500,none,12000,18000,75,15,12,0.9629629629629629,3,0.6666666666666666,0.18333333333333332,0.65
500,500,none,12000,18000,75,15,15,0.9666666666666667,3,0.7833333333333333,0.25,0.8
500,500,none,12000,18000,75,15,10,0.96,3,0.6666666666666666,0.15,0.6333333333333333
500,500,none,12000,18000,75,15,9,0.9583333333333334,3,0.75,0.13333333333333333,0.7333333333333333
500,500,none,12000,18000,75,15,12,1.0,3,0.85,0.2,0.7833333333333333
500,500,none,12000,18000,75,15,8,1.0,3,0.75,0.15,0.75
500,500,none,12000,18000,75,15,18,0.9090909090909091,3,0.7,0.26666666666666666,0.6833333333333333
500,500,none,12000,18000,75,15,16,0.9354838709677419,3,0.6833333333333333,0.23333333333333334,0.6666666666666666
1000,1000,none,12000,18000,150,15,9,0.9583333333333334,7,0.6444444444444445,0.05925925925925926,0.6148148148148148
1000,1000,none,12000,18000,150,15,13,0.8571428571428571,7,0.7037037037037037,0.06666666666666667,0.6444444444444445
1000,1000,none,12000,18000,150,15,10,0.84,7,0.6962962962962963,0.044444444444444446,0.6962962962962963
1000,1000,none,12000,18000,150,15,15,0.9,7,0.6370370370370371,0.0962962962962963,0.6074074074074074
1000,1000,none,12000,18000,150,15,19,0.8823529411764706,7,0.7111111111111111,0.1111111111111111,0.6518518518518519
1000,1000,none,12000,18000,150,15,21,1.0,7,0.6296296296296297,0.16296296296296298,0.5777777777777777
1000,1000,none,12000,18000,150,15,8,0.8695652173913043,7,0.6148148148148148,0.037037037037037035,0.4888888888888889
1000,1000,none,12000,18000,150,15,11,0.9230769230769231,7,0.6370370370370371,0.08148148148148149,0.6148148148148148
1000,1000,none,12000,18000,150,15,16,0.9354838709677419,7,0.7037037037037037,0.1037037037037037,0.6962962962962963
1000,1000,none,12000,18000,150,15,14,0.8275862068965517,7,0.6,0.08148148148148149,0.6
1000,1000,none,12000,18000,150,15,18,0.9393939393939394,7,0.6370370370370371,0.14074074074074075,0.6444444444444445
1000,1000,none,12000,18000,150,15,12,0.8888888888888888,7,0.6444444444444445,0.07407407407407407,0.6444444444444445
1000,1000,none,12000,18000,150,15,13,0.9285714285714286,7,0.7185185185185186,0.08148148148148149,0.7111111111111111
1000,1000,none,12000,18000,150,15,13,0.9285714285714286,7,0.6518518518518519,0.08888888888888889,0.6370370370370371
1000,1000,none,12000,18000,150,15,6,0.9047619047619048,7,0.6370370370370371,0.037037037037037035,0.6222222222222222
1000,1000,none,12000,18000,150,15,23,0.9736842105263158,7,0.6370370370370371,0.17037037037037037,0.6888888888888889
1000,1000,none,12000,18000,150,15,10,0.92,7,0.6296296296296297,0.07407407407407407,0.6074074074074074
1000,1000,none,12000,18000,150,15,13,0.8571428571428571,7,0.7111111111111111,0.07407407407407407,0.6370370370370371
1000,1000,none,12000,18000,150,15,13,0.9642857142857143,7,0.6592592592592592,0.1037037037037037,0.6370370370370371
1000,1000,none,12000,18000,150,15,5,1.0,7,0.6962962962962963,0.05185185185185185,0.7185185185185186
2000,2000,none,12000,18000,300,15,16,0.967741935483871,15,0.5157894736842106,0.05263157894736842,0.5333333333333333
2000,2000,none,12000,18000,300,15,16,0.8387096774193549,15,0.5157894736842106,0.042105263157894736,0.5298245614035088
2000,2000,none,12000,18000,300,15,14,0.8620689655172413,15,0.4456140350877193,0.03508771929824561,0.4666666666666667
2000,2000,none,12000,18000,300,15,18,0.8787878787878788,15,0.4982456140350877,0.056140350877192984,0.5263157894736842
2000,2000,none,12000,18000,300,15,13,0.8571428571428571,15,0.5824561403508772,0.03508771929824561,0.5964912280701754
2000,2000,none,12000,18000,300,15,5,0.9,15,0.5298245614035088,0.014035087719298246,0.5719298245614035
2000,2000,none,12000,18000,300,15,15,0.9,15,0.5298245614035088,0.042105263157894736,0.5508771929824562
2000,2000,none,12000,18000,300,15,13,0.8928571428571429,15,0.4456140350877193,0.042105263157894736,0.4280701754385965
2000,2000,none,12000,18000,300,15,8,0.8695652173913043,15,0.4842105263157895,0.021052631578947368,0.5473684210526316
2000,2000,none,12000,18000,300,15,21,0.8055555555555556,15,0.4666666666666667,0.056140350877192984,0.4807017543859649
2000,2000,none,12000,18000,300,15,27,0.8571428571428571,15,0.5789473684210527,0.08421052631578947,0.5824561403508772
2000,2000,none,12000,18000,300,15,6,0.9047619047619048,15,0.47368421052631576,0.017543859649122806,0.43508771929824563
2000,2000,none,12000,18000,300,15,18,0.7272727272727273,15,0.49122807017543857,0.031578947368421054,0.4982456140350877
2000,2000,none,12000,18000,300,15,15,0.8666666666666667,15,0.5263157894736842,0.05964912280701754,0.5333333333333333
2000,2000,none,12000,18000,300,15,11,0.8461538461538461,15,0.4842105263157895,0.03508771929824561,0.49122807017543857
2000,2000,none,12000,18000,300,15,11,1.0,15,0.5578947368421052,0.03859649122807018,0.5684210526315789
2000,2000,none,12000,18000,300,15,17,0.875,15,0.519298245614035,0.05263157894736842,0.5263157894736842
2000,2000,none,12000,18000,300,15,10,0.84,15,0.45263157894736844,0.02456140350877193,0.4456140350877193
2000,2000,none,12000,18000,300,15,5,0.9,15,0.3824561403508772,0.017543859649122806,0.42105263157894735
2000,2000,none,12000,18000,300,15,11,0.8846153846153846,15,0.5684210526315789,0.031578947368421054,0.5578947368421052
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7333333333333333,0.0,0.7333333333333333
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.65,0.0,0.65
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.6,0.0,0.6
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7166666666666667,0.0,0.7166666666666667
500,500,volume_hiding,12000,18000,75,15,2,1.0,3,0.7166666666666667,0.03333333333333333,0.7166666666666667
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7333333333333333,0.0,0.7333333333333333
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.55,0.0,0.55
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7166666666666667,0.0,0.7166666666666667
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.75,0.0,0.75
500,500,volume_hiding,12000,18000,75,15,1,1.0,3,0.7,0.016666666666666666,0.7
500,500,volume_hiding,12000,18000,75,15,1,1.0,3,0.7166666666666667,0.016666666666666666,0.75
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.6,0.0,0.6
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7166666666666667,0.0,0.7166666666666667
500,500,volume_hiding,12000,18000,75,15,1,1.0,3,0.7166666666666667,0.016666666666666666,0.7166666666666667
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7833333333333333,0.0,0.7833333333333333
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.8,0.0,0.8
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.8166666666666667,0.0,0.8166666666666667
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7333333333333333,0.0,0.7333333333333333
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.7,0.0,0.7
500,500,volume_hiding,12000,18000,75,15,0,1.0,3,0.6,0.0,0.6
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6074074074074074,0.0,0.6074074074074074
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.762962962962963,0.0,0.762962962962963
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6,0.0,0.6
1000,1000,volume_hiding,12000,18000,150,15,1,1.0,7,0.7111111111111111,0.007407407407407408,0.6962962962962963
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.7037037037037037,0.0,0.7037037037037037
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6814814814814815,0.0,0.6814814814814815
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6814814814814815,0.0,0.6814814814814815
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6148148148148148,0.0,0.6148148148148148
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.5925925925925926,0.0,0.5925925925925926
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.5925925925925926,0.0,0.5925925925925926
1000,1000,volume_hiding,12000,18000,150,15,1,1.0,7,0.6074074074074074,0.007407407407407408,0.6148148148148148
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.7037037037037037,0.0,0.7037037037037037
1000,1000,volume_hiding,12000,18000,150,15,1,1.0,7,0.674074074074074,0.007407407407407408,0.674074074074074
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6222222222222222,0.0,0.6222222222222222
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.5851851851851851,0.0,0.5851851851851851
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6296296296296297,0.0,0.6296296296296297
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6666666666666666,0.0,0.6666666666666666
1000,1000,volume_hiding,12000,18000,150,15,1,1.0,7,0.6888888888888889,0.007407407407407408,0.6888888888888889
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.6296296296296297,0.0,0.6296296296296297
1000,1000,volume_hiding,12000,18000,150,15,0,1.0,7,0.674074074074074,0.0,0.674074074074074
2000,2000,volume_hiding,12000,18000,300,15,1,0.9375,15,0.5228070175438596,0.0,0.5298245614035088
2000,2000,volume_hiding,12000,18000,300,15,0,1.0,15,0.32280701754385965,0.0,0.32280701754385965
2000,2000,volume_hiding,12000,18000,300,15,0,1.0,15,0.5298245614035088,0.0,0.5298245614035088
2000,2000,volume_hiding,12000,18000,300,15,0,1.0,15,0.5052631578947369,0.0,0.5052631578947369
2000,2000,volume_hiding,12000,18000,300,15,1,1.0,15,0.5263157894736842,0.0035087719298245615,0.5403508771929825
2000,2000,volume_hiding,12000,18000,300,15,0,1.0,15,0.48771929824561405,0.0,0.48771929824561405
2000,2000,volume_hiding,12000,18000,300,15,0,1.0,15,0.5508771929824562,0.0,0.5508771929824562
2000,2000,volume_hiding,12000,18000,300,15,0,1.0,15,0.5473684210526316,0.0,0.5473684210526316
2000,2000,volume_hiding,12000,18000,300,15,1,1.0,15,0.5263157894736842,0.0035087719298245615,0.5403508771929825
2000,2000,volume_hiding,12000,18000,300,15,0,1.0,15,0.543859649122807,0.0,0.543859649122807
2000,2000,volume_hiding,12000,18000,300,15,1,1.0,15,0.519298245614035,0.0035087719298245615,0.512280701754386
